crop_code,unit_cd,mean_cf_nat,mean_cf1,mean_cf2,mean_cf3,mean_cf4,mean_cf6,mean_cf7,mean_cf12,mean_cf99,note
2. MAIZE,183. Tasa/Tanika/Shember/Selemon Large,1.0729999542236328,1.184999942779541,1.1729999780654907,1.1449999809265137,1.0729999542236328,1.0729999542236328,0.9900000095367432,1.0729999542236328,1.0729999542236328,

3. MILLET,1. Kilogram,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,

3. MILLET,3. Quintal,,,,,,,,,,

3. MILLET,8. Jog,0.9670000076293944,0.9549999833106996,0.9670000076293944,0.9670000076293944,0.875,0.9670000076293944,0.8899999856948853,0.9670000076293944,1.149999976158142,

3. MILLET,21. Akumada/Dawla/Lekota Small,29.31399917602539,29.31399917602539,29.31399917602539,29.31399917602539,29.31399917602539,29.31399917602539,29.31399917602539,29.31399917602539,29.31399917602539,Used jog ratio for teff to estimate container CF

3. MILLET,22. Akumada/Dawla/Lekota Large,47.38199996948242,47.38199996948242,47.38199996948242,47.38199996948242,47.38199996948242,47.38199996948242,47.38199996948242,47.38199996948242,47.38199996948242,Used jog ratio for teff to estimate container CF

3. MILLET,31. Birchiko Small,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,

3. MILLET,32. Birchiko Medium,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,

3. MILLET,33. Birchiko Large,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,

3. MILLET,81. Joniya/Kasha Small,31.753999710083008,33.75,35.5,32.875,28.625,28.049999237060547,31.753999710083008,31.753999710083008,31.753999710083008,

3. MILLET,82. Joniya/Kasha Medium,58.17300033569336,59.25,61.5,50.1879997253418,58.17300033569336,58.17300033569336,58.17300033569336,58.17300033569336,58.17300033569336,

3. MILLET,83. Joniya/Kasha Large,,,,,,,,,,

3. MILLET,101. Kubaya/Cup Small,0.2610000073909759,0.2610000073909759,0.2610000073909759,0.2610000073909759,0.2610000073909759,0.2610000073909759,0.2610000073909759,0.2610000073909759,0.2610000073909759,Used jog ratio for teff to estimate container CF

3. MILLET,102. Kubaya/Cup Medium,0.3370000123977661,0.3370000123977661,0.3370000123977661,0.3370000123977661,0.3370000123977661,0.3370000123977661,0.3370000123977661,0.3370000123977661,0.3370000123977661,Used jog ratio for teff to estimate container CF

3. MILLET,103. Kubaya/Cup Large,0.6850000023841858,0.6850000023841858,0.6850000023841858,0.6850000023841858,0.6850000023841858,0.6850000023841858,0.6850000023841858,0.6850000023841858,0.6850000023841858,Used jog ratio for teff to estimate container CF

3. MILLET,111. Kunna/Mishe/Kefer/Enkib Small,4.368000030517578,4.755000114440918,4.368000030517578,4.559999942779541,4.368000030517578,4.368000030517578,4.368000030517578,4.368000030517578,4.368000030517578,

3. MILLET,112. Kunna/Mishe/Kefer/Enkib Medium,7.460000038146973,7.59499979019165,6.21999979019165,8.430000305175781,7.460000038146973,7.460000038146973,7.460000038146973,7.460000038146973,7.460000038146973,

3. MILLET,113. Kunna/Mishe/Kefer/Enkib Large,11.130000114440918,12.609999656677246,9.380000114440918,11.130000114440918,9.920000076293944,11.130000114440918,11.130000114440918,11.130000114440918,11.130000114440918,

3. MILLET,121. Madaberia/Nuse/Shera/Cheret Small,31.753999710083008,33.75,35.5,32.875,28.625,28.049999237060547,31.753999710083008,31.753999710083008,31.753999710083008,

3. MILLET,122. Madaberia/Nuse/Shera/Cheret Medium,58.17300033569336,59.25,61.5,50.1879997253418,58.17300033569336,58.17300033569336,58.17300033569336,58.17300033569336,58.17300033569336,

3. MILLET,123. Madaberia/Nuse/Shera/Cheret Large,,,,,,,,,,

3. MILLET,151. Sahin Small,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.8029999732971191,Used jog ratio for teff to estimate container CF

